Unique bug id,Unique bug name,Occurence,Source,Commit/Bugzilla ID,Year,First appearance,Security impacts,Specific cause
l-13,UB pointer-offset-overflow,1(linux),linux,beaec533fc2701a28a4d667f67c9f59c6e4e0d13,2017,2017,hang,No-UB assumption
l-8,UB elimi-shift,1(linux),linux,d50f2ab6f050311dbf7b8f5501b25f0bf64a439b,2012,2012,hang,No-UB assumption
b-1,UB std func arg assumption,1(gcc),gcc,41946,2009,2009,crash,No-UB assumption
b-2,UB ret value of builtin func,1(gcc),gcc,89670,2019,2019,crash,No-UB assumption
l-16,UB nonull ptr assumption,3(linux) 2(gcc),linux,02828845dda5ccf921ab2557c6ca17b6e7fc70e2,2006,2006,crash,No-UB assumption
l-24,UB nonull ptr assumption,3(linux) 2(gcc),linux,a3ca86aea507904148870946d599e07a340b39bf,2009,2006,crash,No-UB assumption
b-8,UB nonull ptr assumption,3(linux) 2(gcc),gcc,33629,2007,2006,crash,No-UB assumption
b-8,UB nonull ptr assumption,3(linux) 2(gcc),gcc,70038,2016,2006,crash,No-UB assumption
b-3,UB res of strlen(no OOB assumption),1(gcc),gcc,85310,2018,2018,crash,No-UB assumption
b-9,UB signed int overflow,13(gcc) 4(llvm),llvm,16642,2013,2007,any possibility,No-UB assumption
b-9,UB signed int overflow,13(gcc) 4(llvm),llvm,22822,2015,2007,crash,No-UB assumption
b-9,UB signed int overflow,13(gcc) 4(llvm),gcc,30475,2007,2007,crash,No-UB assumption
b-9,UB signed int overflow,13(gcc) 4(llvm),llvm,35057,2017,2007,hang,No-UB assumption
b-9,UB signed int overflow,13(gcc) 4(llvm),gcc,39311,2009,2007,crash,No-UB assumption
b-9,UB signed int overflow,13(gcc) 4(llvm),gcc,46619,2011,2007,any possibility,No-UB assumption
b-9,UB signed int overflow,13(gcc) 4(llvm),llvm,46710,2020,2007,crash,No-UB assumption
b-9,UB signed int overflow,13(gcc) 4(llvm),gcc,47732,2011,2007,hang,No-UB assumption
b-9,UB signed int overflow,13(gcc) 4(llvm),gcc,48793,2011,2007,any possibility,No-UB assumption
b-9,UB signed int overflow,13(gcc) 4(llvm),gcc,49183,2011,2007,crash,No-UB assumption
